year,month,brl_usd_price,date,oil_price,conflict
1998,11,1.1931631578947368,1998-11-01,11.039047619047619,1
1998,12,1.205240909090909,1998-12-01,9.824285714285715,1
1999,1,1.5119526315789473,1999-01-01,11.1145,1
1999,2,1.9260526315789472,1999-02-01,10.27157894736842,1
1999,3,1.9056521739130434,1999-03-01,12.511304347826087,1
1999,4,1.7024818181818182,1999-04-01,15.2945,1
1999,5,1.685275,1999-05-01,15.225263157894739,1
1999,6,1.7669318181818183,1999-06-01,15.863181818181818,1
1999,7,1.8022857142857143,1999-07-01,19.080000000000002,1
1999,8,1.8858863636363636,1999-08-01,20.219047619047622,1
1999,9,1.8986904761904764,1999-09-01,22.543181818181818,1
1999,10,1.9687999999999999,1999-10-01,22.002380952380953,1
1999,11,1.9313500000000001,1999-11-01,24.58409090909091,1
1999,12,1.8442173913043478,1999-12-01,25.473157894736843,1
2000,1,1.8057349999999999,2000-01-01,25.511,1
2000,2,1.7765,2000-02-01,27.775714285714283,1
2000,3,1.7423782608695653,2000-03-01,27.48608695652174,1
2000,4,1.769625,2000-04-01,22.764444444444443,1
2000,5,1.8277500000000002,2000-05-01,27.73761904761905,1
2000,6,1.8098636363636365,2000-06-01,29.795454545454547,1
2000,7,1.7981500000000001,2000-07-01,28.682380952380953,1
2000,8,1.809113043478261,2000-08-01,30.19608695652174,1
2000,9,1.839725,2000-09-01,33.1447619047619,1
2000,10,1.8813333333333335,2000-10-01,30.96090909090909,1
2000,11,1.9482714285714284,2000-11-01,32.55227272727273,1
2000,12,1.9632,2000-12-01,25.66,1
2001,1,1.9561190476190475,2001-01-01,25.624545454545455,1
2001,2,2.006,2001-02-01,27.503500000000003,1
2001,3,2.0955227272727273,2001-03-01,24.49727272727273,1
2001,4,2.193438095238095,2001-04-01,25.657142857142855,1
2001,5,2.292568181818182,2001-05-01,28.313636363636363,1
2001,6,2.3787857142857143,2001-06-01,27.84904761904762,1
2001,7,2.473095238095238,2001-07-01,24.613636363636363,1
2001,8,2.5122391304347826,2001-08-01,25.68,1
2001,9,2.6766666666666667,2001-09-01,25.6195,1
2001,10,2.7408045454545453,2001-10-01,20.53782608695652,1
2001,11,2.5481,2001-11-01,18.797272727272727,1
2001,12,2.36354,2001-12-01,18.705263157894734,1
2002,1,2.379904761904762,2002-01-01,19.416818181818183,0
2002,2,2.4241894736842107,2002-02-01,20.2755,0
2002,3,2.3450238095238096,2002-03-01,23.696666666666665,0
2002,4,2.3226818181818185,2002-04-01,25.72863636363636,0
2002,5,2.47525,2002-05-01,25.345454545454547,0
2002,6,2.714375,2002-06-01,24.081666666666667,0
2002,7,2.9414090909090906,2002-07-01,25.73608695652174,0
2002,8,3.1081590909090906,2002-08-01,26.651363636363637,0
2002,9,3.354775,2002-09-01,28.39952380952381,0
2002,10,3.7966136363636362,2002-10-01,27.54304347826087,0
2002,11,3.592436842105263,2002-11-01,24.335238095238097,0
2002,12,3.6268095238095235,2002-12-01,28.334500000000002,0
2003,1,3.4374571428571428,2003-01-01,31.183636363636364,0
2003,2,3.5955263157894737,2003-02-01,32.771,0
